Kota,Usia (tahun),Jenis Kelamin,Tinggi Badan (dalam cm),Berat Badan (dalam kg),Kecepatan Bersepeda,Jenis Permukaan Jalan (yang paling sering dilalui),Jenis Sepeda (yang paling sering digunakan),Tujuan Bersepeda (secara singkat)
madiun,45,Pria,165,65,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),olah raga
Pekalongan,50,Pria,166,80,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Balap (Road Bike),Menggerakkan badan ( olah raga) dalam jarak dekat 1 s.d  5 KM
Surabaya,43,Pria,178,73,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Kesehatan
Surabaya,40,Wanita,165,53,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),berolahraga
surabaya,32,Wanita,155,68,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Balap (Road Bike),mengusir bosan 
Surabaya,41,Pria,167,59,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Hobby
Surabaya,33,Pria,184,75,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Sehat
Surabaya,48,Pria,179cm,78kg,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Kesehatan
Surabaya,38,Wanita,155,50,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),"Olahraga, kumpul teman"
Surabaya,50,Pria,173,83,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Biar sehat
Surabaya,53,Pria,183,80,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),sehat n imun kuat
Surabaya,44,Wanita,158,50,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),Supaya sehat
Surabaya,47,Pria,170,79,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Balap (Road Bike),Olah raga
Surabaya,36,Pria,167,74,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Untuk sehat
Surabaya,49,Pria,165,68,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),Utk olah raga
Surabaya,38,Pria,159,90,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),Olah raga dan alat transportasi sekitar komplek rumah
Surabaya,28,Wanita,159,50,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Balap (Road Bike),Menikmati pemandangan (alam)
Surabaya,35,Pria,174,70,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Olahraga keluar keringat dan kesehatan
Surabaya,31,Pria,165,85,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Mencari angin dan keringat
Surabaya,33,Pria,179,65,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),supaya sehat
Surabaya,45,Pria,170,70,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Healthy and Fun 😊
Surabaya ,45,Pria,174,80,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Biar sehat
Surabaya,44,Pria,173,70,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),"Biar tetap langsing, ga merasa bersalah kalo makan banyak."
Surabaya,32,Pria,168,74,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Olahraga
Surabaya,40,Pria,170,64,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Cari sehat
Surabaya,35,Pria,175,68,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Biar tidak positif Covid
Sidoarjo,39,Pria,170,58,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Kesehatan
Surabaya,21,Pria,176,70,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),untuk menjadi lebih kuat
Surabaya,40,Pria,180,80,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Sehat 
Surabaya,49,Pria,181,82,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),Nggergaji suged...eh utk kesehatan
Surabaya,44,Pria,169,65,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Olah raga
Bandung,37,Pria,176,60,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),Olahraga dan rekreasi
BANDUNG,31,Pria,183,82,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),Buat sehat
Pekalongan,28,Pria,168,65,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Ingin sehat
bdg,32,Pria,167,82,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),olahraga
Bandung,53,Pria,174,74,Cepat (26 km/jam atau lebih),Jalanan Tidak Rata,Sepeda Balap (Road Bike),Healthy n Happy 
